d,m,n,i,mip.ft
0.4,5,10,3,2449
0.3,5,50,23,37086
0.4,5,10,5,2431
0.4,5,10,6,2459
0.4,5,10,7,3118
0.4,5,10,8,2435
0.4,5,10,9,2697
0.4,5,10,4,2427
0.4,5,10,11,2295
0.4,5,10,10,2443
0.4,5,10,12,2383
0.4,5,10,13,3104
0.4,5,10,14,2916
0.4,5,10,16,2380
0.4,5,10,15,2470
0.4,5,10,17,2270
0.4,5,10,18,2410
0.4,5,10,20,2445
0.4,5,10,21,2736
0.4,5,10,22,2614
0.4,5,10,23,1849
0.4,5,10,19,2971
0.4,5,10,24,2171
0.4,5,10,25,2047
0.4,5,10,27,2293
0.4,5,10,28,2644
0.4,5,10,29,2239
0.3,5,50,24,47055
0.3,5,50,25,41278
0.4,5,10,26,2924
0.4,10,10,2,3916
0.4,10,10,4,3873
0.3,5,50,26,37118
0.4,10,10,5,3746
0.3,5,50,27,45955
0.4,10,10,6,3886
0.3,5,50,28,51519
0.3,5,50,29,44418
0.4,10,10,8,4255
0.4,10,10,10,4501
0.4,10,10,12,3706
0.4,10,10,9,4783
0.4,10,10,3,4449
0.4,10,10,14,4667
0.4,10,10,0,4928
0.4,10,10,13,3818
0.4,10,10,15,3948
0.4,10,10,7,4819
0.4,10,10,20,4188
0.4,10,10,18,4578
0.4,10,10,22,3969
0.4,10,10,23,4472
0.4,10,10,1,4601
0.4,10,10,16,3926
0.4,10,10,24,3828
0.4,10,10,17,4424
0.4,10,10,11,4161
0.4,10,10,29,4254
0.4,10,10,28,3928
0.4,10,10,19,4213
0.4,10,10,25,4471
0.4,10,10,21,4790
0.4,10,10,26,4600
0.4,10,10,27,3967
0.4,20,10,0,7317
0.4,20,10,1,7901
0.4,20,10,2,8805
0.4,20,10,3,8067
0.4,20,10,4,7720
0.4,20,10,5,7747
0.4,20,10,6,7477
0.4,20,10,7,7949
0.4,20,10,8,7833
0.4,20,10,9,7708
0.4,20,10,10,7231
0.4,20,10,11,8043
0.4,20,10,12,8080
0.4,20,10,13,7714
0.4,20,10,14,7708
0.4,20,10,15,7405
0.4,20,10,16,8018
0.4,20,10,17,7948
0.4,20,10,18,6864
0.4,20,10,19,8398
0.4,20,10,20,7535
0.4,20,10,21,6803
0.4,20,10,22,8016
0.4,20,10,23,7584
0.4,20,10,24,6788
0.4,20,10,25,8039
0.4,20,10,26,7983
0.4,20,10,27,6861
0.4,20,10,28,8079
0.4,20,10,29,8419
0.4,30,10,0,10688
0.4,30,10,1,11278
0.4,30,10,2,11152
0.4,30,10,3,11045
0.4,30,10,4,11393
0.4,30,10,5,12108
0.4,30,10,6,10298
0.4,30,10,7,10979
0.4,30,10,8,10580
0.4,30,10,9,11182
0.4,30,10,10,11078
0.4,30,10,11,11905
0.4,30,10,12,10645
0.4,30,10,13,11182
0.4,30,10,14,10390
0.4,30,10,15,11666
0.4,30,10,16,11730
0.4,30,10,17,10914
0.4,30,10,18,10427
0.4,30,10,19,11076
0.4,30,10,20,10939
0.4,30,10,21,10586
0.4,30,10,22,10702
0.4,30,10,23,11228
0.4,5,20,0,7710
0.4,5,20,1,7169
0.4,30,10,24,11049
0.4,30,10,25,12429
0.4,5,20,2,8204
0.4,5,20,3,5815
0.4,5,20,4,8464
0.4,5,20,5,7960
0.4,30,10,26,11516
0.4,30,10,27,11032
0.4,30,10,28,10896
0.4,30,10,29,10272
0.4,5,20,6,7465
0.4,5,20,7,6716
0.4,5,20,8,7396
0.4,5,20,9,7556
0.4,5,20,10,7771
0.4,5,20,11,7537
0.4,5,20,12,7024
0.4,5,20,13,6675
0.4,5,20,14,7045
0.4,5,20,15,6876
0.4,5,20,16,7545
0.4,5,20,17,7163
0.4,5,20,18,7099
0.4,5,20,19,5592
0.4,5,20,20,6674
0.4,5,20,21,6340
0.4,5,20,22,7254
0.4,5,20,23,7205
0.4,5,20,24,7905
0.4,5,20,25,6922
0.4,5,20,26,7564
0.4,5,20,27,7294
0.4,5,20,28,6989
0.4,5,20,29,6950
0.4,10,20,0,11278
0.4,10,20,1,12377
0.4,10,20,2,11342
0.4,10,20,3,13586
0.4,10,20,4,11377
0.4,10,20,5,11423
0.4,10,20,6,12123
0.4,10,20,7,11102
0.4,10,20,8,10420
0.4,10,20,9,11492
0.4,10,20,10,10613
0.4,10,20,11,11645
0.4,10,20,12,13034
0.4,10,20,13,11884
0.4,10,20,14,11210
0.4,10,20,15,11273
0.4,10,20,16,12172
0.4,10,20,17,11725
0.4,10,20,18,11516
0.4,10,20,19,11468
0.4,10,20,20,11811
0.4,10,20,21,11815
0.4,10,20,22,11028
0.4,10,20,23,11373
0.4,10,20,24,11707
0.4,10,20,25,10257
0.4,10,20,26,11371
0.4,10,20,27,10659
0.4,10,20,28,10244
0.4,10,20,29,11060
0.4,20,20,0,18855
0.4,20,20,1,19841
0.4,20,20,2,18499
0.4,20,20,3,17411
0.4,20,20,4,17712
0.4,20,20,5,19930
0.4,20,20,6,20928
0.4,20,20,7,19356
0.4,20,20,8,17615
0.4,20,20,9,18228
0.4,20,20,10,19254
0.4,20,20,11,19685
0.4,20,20,12,18890
0.4,20,20,13,19469
0.4,20,20,14,20103
0.4,20,20,15,19222
0.4,20,20,16,19707
0.4,20,20,17,19493
0.4,20,20,18,19553
0.4,20,20,19,19534
0.4,20,20,20,18871
0.4,20,20,21,20350
0.4,20,20,22,18976
0.4,20,20,23,18676
0.4,20,20,24,19324
0.4,20,20,25,19492
0.4,20,20,26,18749
0.4,20,20,27,18949
0.4,20,20,28,19448
0.4,20,20,29,18860
0.4,30,20,0,26371
0.4,30,20,1,26707
0.4,30,20,2,27634
0.4,30,20,3,29104
0.4,30,20,4,27632
0.4,30,20,5,26811
0.4,30,20,6,26419
0.4,30,20,7,25569
0.4,30,20,8,27631
0.4,30,20,9,27521
0.4,30,20,10,26397
0.4,30,20,11,27330
0.4,30,20,12,27215
0.4,30,20,13,28593
0.4,30,20,14,27020
0.4,30,20,15,29901
0.4,30,20,16,27422
0.4,30,20,17,25514
0.4,30,20,18,26693
0.4,30,20,19,26695
0.4,30,20,20,27254
0.4,30,20,21,27256
0.4,30,20,22,28196
0.4,30,20,23,26050
0.4,5,30,0,17177
0.4,5,30,1,13190
0.4,30,20,24,25950
0.4,30,20,25,27050
0.4,5,30,2,13140
0.4,5,30,3,12972
0.4,5,30,4,12249
0.4,5,30,5,13255
0.4,30,20,26,26683
0.4,5,30,6,12489
0.4,5,30,7,13287
0.4,30,20,27,27756
0.4,5,30,8,14338
0.4,5,30,9,15728
0.4,30,20,28,26608
0.4,5,30,10,14642
0.4,30,20,29,27642
0.4,5,30,11,14287
0.4,5,30,12,13504
0.4,5,30,13,15275
0.4,5,30,14,17543
0.4,5,30,15,12997
0.4,5,30,16,13142
0.4,5,30,17,14583
0.4,5,30,18,15019
0.4,5,30,19,11186
0.4,5,30,20,17158
0.4,5,30,21,15925
0.4,5,30,22,13756
0.4,5,30,23,13977
0.4,5,30,24,16096
0.4,5,30,25,16571
0.4,5,30,26,12698
0.4,5,30,27,15296
0.4,5,30,28,14316
0.4,5,30,29,15098
0.4,10,30,0,19507
0.4,10,30,1,21269
0.4,10,30,2,19749
0.4,10,30,3,21150
0.4,10,30,4,19366
0.4,10,30,5,21478
0.4,10,30,6,21575
0.4,10,30,7,19099
0.4,10,30,8,20937
0.4,10,30,9,22550
0.4,10,30,10,21352
0.4,10,30,11,21708
0.4,10,30,12,21530
0.4,10,30,13,22918
0.4,10,30,14,21539
0.4,10,30,15,21889
0.4,10,30,16,21565
0.4,10,30,17,21191
0.4,10,30,18,19901
0.4,10,30,19,21470
0.4,10,30,20,23643
0.4,10,30,21,21626
0.4,10,30,22,20448
0.4,10,30,23,20847
0.4,10,30,24,19893
0.4,10,30,25,22184
0.4,10,30,26,21040
0.4,10,30,27,22056
0.4,10,30,28,20447
0.4,10,30,29,20950
0.4,20,30,0,32846
0.4,20,30,1,34068
0.4,20,30,2,33890
0.4,20,30,3,34781
0.4,20,30,4,31830
0.4,20,30,5,34766
0.4,20,30,6,33614
0.4,20,30,7,32841
0.4,20,30,8,33716
0.4,20,30,9,36231
0.4,20,30,10,35116
0.4,20,30,11,33295
0.4,20,30,12,34648
0.4,20,30,13,33407
0.4,20,30,14,32655
0.4,20,30,15,34236
0.4,20,30,16,33530
0.4,20,30,17,33579
0.4,20,30,18,34086
0.4,20,30,19,32471
0.4,20,30,20,32028
0.4,20,30,21,34791
0.4,20,30,22,34594
0.4,20,30,23,34765
0.4,5,50,0,35963
0.4,5,50,1,34720
0.4,20,30,24,34466
0.4,20,30,25,33302
0.4,5,50,2,32348
0.4,5,50,3,31555
0.4,20,30,26,32294
0.4,20,30,27,35024
0.4,5,50,4,36577
0.4,5,50,5,38362
0.4,20,30,28,36006
0.4,20,30,29,32986
0.4,5,50,6,32186
0.4,5,50,7,35443
0.4,5,50,8,36696
0.4,5,50,9,37880
0.4,5,50,10,33162
0.4,5,50,11,32559
0.4,5,50,12,36206
0.4,5,50,13,38309
0.4,5,50,14,34642
0.4,5,50,15,35544
0.4,5,50,16,36739
0.4,5,50,17,33783
0.4,5,50,18,32789
0.4,5,50,19,31801
0.4,5,50,20,36473
0.4,5,50,21,35103
0.4,5,50,22,35895
0.4,5,50,23,34049
0.4,5,50,24,34313
0.4,5,50,25,37479
0.4,5,50,26,34003
0.4,5,50,27,39873
0.4,5,50,28,35443
0.4,5,50,29,35682
